id,nodes,edges,nIter,randLocal,grasp
1,800,19176,1,11299,11372
1,800,19176,2,11363,11426
1,800,19176,3,11362,11299
1,800,19176,4,11295,11400
1,800,19176,5,11319,11308
1,800,19176,6,11324,11385
1,800,19176,7,11377,11381
1,800,19176,8,11339,11373
1,800,19176,9,11358,11430
1,800,19176,10,11306,11363
1,800,19176,11,11422,11430
1,800,19176,12,11348,11356
1,800,19176,13,11394,11427
1,800,19176,14,11355,11330
1,800,19176,15,11363,11341
1,800,19176,16,11315,11409
1,800,19176,17,11382,11428
1,800,19176,18,11324,11368
1,800,19176,19,11315,11350
1,800,19176,20,11329,11353
2,800,19176,1,11328,11385
2,800,19176,2,11310,11410
2,800,19176,3,11337,11329
2,800,19176,4,11321,11441
2,800,19176,5,11368,11441
2,800,19176,6,11303,11358
2,800,19176,7,11299,11330
2,800,19176,8,11384,11380
2,800,19176,9,11326,11371
2,800,19176,10,11323,11430
2,800,19176,11,11331,11398
2,800,19176,12,11334,11361
2,800,19176,13,11367,11380
2,800,19176,14,11358,11382
2,800,19176,15,11344,11391
2,800,19176,16,11307,11311
2,800,19176,17,11287,11398
2,800,19176,18,11367,11370
2,800,19176,19,11410,11366
2,800,19176,20,11358,11304
3,800,19176,1,11254,11418
3,800,19176,2,11321,11342
3,800,19176,3,11313,11459
3,800,19176,4,11358,11341
3,800,19176,5,11360,11343
3,800,19176,6,11427,11364
3,800,19176,7,11310,11404
3,800,19176,8,11265,11399
3,800,19176,9,11237,11302
3,800,19176,10,11330,11395
3,800,19176,11,11329,11370
3,800,19176,12,11301,11354
3,800,19176,13,11363,11366
3,800,19176,14,11389,11398
3,800,19176,15,11340,11373
3,800,19176,16,11297,11354
3,800,19176,17,11371,11409
3,800,19176,18,11325,11391
3,800,19176,19,11339,11329
3,800,19176,20,11338,11403
4,800,19176,1,11290,11352
4,800,19176,2,11252,11360
4,800,19176,3,11423,11462
4,800,19176,4,11339,11377
4,800,19176,5,11341,11412
4,800,19176,6,11326,11323
4,800,19176,7,11429,11441
4,800,19176,8,11321,11373
4,800,19176,9,11340,11430
4,800,19176,10,11320,11422
4,800,19176,11,11351,11427
4,800,19176,12,11345,11364
4,800,19176,13,11333,11358
4,800,19176,14,11376,11349
4,800,19176,15,11410,11371
4,800,19176,16,11376,11387
4,800,19176,17,11403,11388
4,800,19176,18,11293,11454
4,800,19176,19,11339,11272
4,800,19176,20,11393,11458
5,800,19176,1,11413,11411
5,800,19176,2,11328,11416
5,800,19176,3,11349,11412
5,800,19176,4,11363,11403
5,800,19176,5,11338,11417
5,800,19176,6,11343,11314
5,800,19176,7,11266,11374
5,800,19176,8,11262,11407
5,800,19176,9,11352,11412
5,800,19176,10,11301,11343
5,800,19176,11,11298,11310
5,800,19176,12,11343,11399
5,800,19176,13,11397,11339
5,800,19176,14,11298,11411
5,800,19176,15,11378,11325
5,800,19176,16,11339,11323
5,800,19176,17,11365,11405
5,800,19176,18,11313,11386
5,800,19176,19,11380,11442
5,800,19176,20,11358,11357
6,800,19176,1,1894,1893
6,800,19176,2,1849,1959
6,800,19176,3,1906,1900
6,800,19176,4,1872,1854
6,800,19176,5,1821,1894
6,800,19176,6,1939,1907
6,800,19176,7,1876,1985
6,800,19176,8,1968,1918
6,800,19176,9,1882,1901
6,800,19176,10,1894,1931
6,800,19176,11,1787,1973
6,800,19176,12,1868,1894
6,800,19176,13,1935,1867
6,800,19176,14,1869,1879
6,800,19176,15,1919,1943
6,800,19176,16,1853,1939
6,800,19176,17,1817,1932
6,800,19176,18,1949,1813
6,800,19176,19,1836,1906
6,800,19176,20,1864,1853
7,800,19176,1,1750,1755
7,800,19176,2,1759,1751
7,800,19176,3,1665,1705
7,800,19176,4,1687,1713
7,800,19176,5,1736,1712
7,800,19176,6,1769,1755
7,800,19176,7,1713,1756
7,800,19176,8,1658,1769
7,800,19176,9,1754,1782
7,800,19176,10,1775,1742
7,800,19176,11,1717,1739
7,800,19176,12,1741,1697
7,800,19176,13,1740,1665
7,800,19176,14,1787,1664
7,800,19176,15,1677,1736
7,800,19176,16,1734,1705
7,800,19176,17,1793,1784
7,800,19176,18,1746,1700
7,800,19176,19,1759,1748
7,800,19176,20,1735,1756
8,800,19176,1,1725,1761
8,800,19176,2,1660,1771
8,800,19176,3,1811,1682
8,800,19176,4,1700,1709
8,800,19176,5,1752,1759
8,800,19176,6,1705,1781
8,800,19176,7,1752,1707
8,800,19176,8,1775,1778
8,800,19176,9,1696,1698
8,800,19176,10,1667,1774
8,800,19176,11,1706,1649
8,800,19176,12,1705,1745
8,800,19176,13,1729,1778
8,800,19176,14,1756,1792
8,800,19176,15,1651,1814
8,800,19176,16,1698,1789
8,800,19176,17,1729,1758
8,800,19176,18,1709,1765
8,800,19176,19,1681,1785
8,800,19176,20,1667,1752
9,800,19176,1,1731,1765
9,800,19176,2,1754,1794
9,800,19176,3,1727,1753
9,800,19176,4,1790,1795
9,800,19176,5,1788,1750
9,800,19176,6,1797,1787
9,800,19176,7,1849,1772
9,800,19176,8,1781,1766
9,800,19176,9,1793,1848
9,800,19176,10,1821,1825
9,800,19176,11,1761,1771
9,800,19176,12,1746,1792
9,800,19176,13,1777,1747
9,800,19176,14,1768,1789
9,800,19176,15,1750,1800
9,800,19176,16,1718,1833
9,800,19176,17,1755,1784
9,800,19176,18,1788,1747
9,800,19176,19,1751,1691
9,800,19176,20,1825,1853
10,800,19176,1,1659,1761
10,800,19176,2,1779,1725
10,800,19176,3,1689,1730
10,800,19176,4,1711,1739
10,800,19176,5,1694,1740
10,800,19176,6,1695,1743
10,800,19176,7,1693,1680
10,800,19176,8,1739,1766
10,800,19176,9,1763,1728
10,800,19176,10,1716,1710
10,800,19176,11,1726,1781
10,800,19176,12,1731,1723
10,800,19176,13,1705,1775
10,800,19176,14,1729,1696
10,800,19176,15,1651,1725
10,800,19176,16,1728,1780
10,800,19176,17,1652,1751
10,800,19176,18,1716,1770
10,800,19176,19,1798,1745
10,800,19176,20,1673,1660
